Modelo,FPR,TPR
Regresión Logística,0.0,0.0
Regresión Logística,0.0008787867163715873,0.003918134046280077
Regresión Logística,0.0016843412063788756,0.007605789619249562
Regresión Logística,0.0028316460860862256,0.011062966718908454
Regresión Logística,0.004074850309842062,0.01438185673458099
Regresión Logística,0.005089639732318777,0.018115608002212593
Regresión Logística,0.006273560725208276,0.021664976491195722
Regresión Logística,0.0076318441618222965,0.025352632064165208
Regresión Logística,0.00893084436756998,0.028948096247810456
Regresión Logística,0.010205433831196232,0.032220890568820874
Regresión Logística,0.011699719973915378,0.035770259057804
Regresión Logística,0.013096363148148793,0.039135244768138656
Regresión Logística,0.01429248951209901,0.04254632617313543
Regresión Logística,0.01569436355964416,0.045911311883470085
Regresión Logística,0.01738567926377202,0.04927629759380474
Regresión Logística,0.018993300994912105,0.05273347469346363
Regresión Logística,0.020318455567218466,0.05619065179312252
Regresión Logística,0.021812741709937612,0.05964782889278141
Regresión Logística,0.023198923137547556,0.06301281460311607
Regresión Logística,0.024823981113060094,0.06651608739743708
Regresión Logística,0.026102057825560836,0.06988107310777174
Regresión Logística,0.027887529249299936,0.07310777173412003
Regresión Logística,0.02943761137401093,0.07651885313911681
Regresión Logística,0.031149850571385727,0.07979164746012722
Regresión Logística,0.03293183474625033,0.08334101594911035
Regresión Logística,0.03436335040922866,0.08656771457545866
Regresión Logística,0.035965741267057004,0.09011708306444179
Regresión Logística,0.03742166767215676,0.09371254724808703
Regresión Logística,0.03902405852998511,0.09721582004240804
Regresión Logística,0.04085486418909258,0.10067299714206693
Regresión Logística,0.04237181744949592,0.10413017424172583
Regresión Logística,0.043749280754919635,0.1075412556467226
Regresión Logística,0.045337722617250026,0.11099843274638149
Regresión Logística,0.04685467587765336,0.11436341845671615
Regresión Logística,0.04871686677663125,0.11768230847238868
Regresión Logística,0.05062613553541476,0.12095510279339909
Regresión Logística,0.05238022171928344,0.12432008850373374
Regresión Logística,0.05449000728835015,0.12809993546602746
Regresión Logística,0.05645332840468826,0.1314188254817
Regresión Logística,0.05811674611782019,0.13482990688669677
Regresión Logística,0.059917910161494496,0.13819489259703144
Regresión Logística,0.06145753053958202,0.14169816539135244
Regresión Logística,0.06320115497682723,0.14524753388033557
Regresión Logística,0.06499011364944082,0.14865861528533236
Regresión Logística,0.06693425489696923,0.152023600995667
Regresión Logística,0.06846515715287053,0.15538858670600167
Regresión Logística,0.07060284071293316,0.1587074767216742
Regresión Logística,0.0723708758922998,0.16211855812667098
Regresión Logística,0.07415460369160166,0.16548354383700561
Regresión Logística,0.07606735969925965,0.16880243385267815
